"TCGA-A3-3320-01A-02R-1325-07"	"TCGA-A3-3323-01A-02R-1325-07"	"TCGA-A3-3326-01A-01R-0864-07"	"TCGA-A3-A6NJ-01A-12R-A33J-07"	"TCGA-A3-A8OU-01A-11R-A37O-07"	"TCGA-AS-3778-01A-01R-A32Z-07"	"TCGA-B0-5690-01A-11R-1541-07"	"TCGA-B4-5834-01A-11R-1672-07"	"TCGA-B4-5844-01A-11R-1672-07"	"TCGA-B8-A54K-01A-11R-A33J-07"	"TCGA-BP-4165-01A-02R-1289-07"	"TCGA-CW-6093-01A-11R-1672-07"	"TCGA-EU-5904-01A-11R-1672-07"	"TCGA-T7-A92I-01A-11R-A37O-07"
"ACAT2|39"	107.5962	311.253	285.3065	172.621	244.0959	227.1918	271.8823	248.1965	210.6611	253.0691	243.4172	266.7814	195.1491	254.9207
"ACBD3|64746"	1525.9666	1228.4337	1132.6624	1158.8635	926.0463	1206.994	1151.9549	1512.5165	1386.8112	984.8841	584.3575	1566.5595	1354.6533	1096.0215
"ACBD4|79777"	861.0104	547.9518	708.1427	659.0636	638.3584	788.7672	670.6973	531.9693	383.8428	757.362	1278.376	304.8232	504.1322	386.4792
"ACBD5|91452"	1367.4246	1360.4819	1244.2818	1049.2197	1166.5989	1166.0191	966.9488	1073.8588	1403.7787	853.2079	548.3046	988.4244	1228.5304	2209.991
"ACBD6|84320"	375.8294	325.3012	370.5398	493.3974	519.7074	531.261	451.0278	392.1569	360.8424	429.9631	499.2326	365.9164	429.3927	623.9904
"ACBD7|414149"	5.3083	7.2289	5.4895	13.6054	9.3458	10.9502	7.2551	7.1301	4.9017	8.0618	10.0147	6.4309	7.5458	36.195
"ACCN1|40"	0	2.8916	4.5746	19.6078	17.8789	1.0597	1.2092	0.31	0	0.4479	5.5081	2.5723	0.7186	3.2905
"ACCN2|41"	3.185	48.6747	11.8939	8.0032	6.5014	14.1293	17.7348	5.2701	6.787	3.1351	6.0088	3.537	5.3899	7.1792
"ACCN3|9311"	7.7855	9.6386	11.8939	6.8027	23.974	15.5422	5.6429	1.24	3.3935	5.3745	22.5331	1.2862	6.4678	19.7427
"ACCN4|55515"	3.185	1.4458	8.2342	0.8003	2.0317	1.0597	3.2245	0.31	1.5082	4.9267	1.0015	2.2508	0.3593	0.2991
"ACCN5|51802"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACCSL|390110"	0	0.9639	0.9149	0	0.4063	0	0	0.31	0	0	0	0.6431	0.3593	0
"ACCS|84680"	295.4968	652.0482	640.4392	473.7895	373.8318	938.8909	262.3942	132.3723	150.4453	324.2638	514.7554	146.6238	323.0327	381.6931
"ACD|65057"	359.5506	362.8916	469.3504	308.1232	479.8862	543.9774	419.9919	496.0087	266.5784	527.6005	676.9935	268.8103	395.9756	266.2279
"ACE2|59272"	1971.8659	106.988	4423.6048	4943.9776	3695.2458	1719.5337	564.2886	585.9103	1571.9455	9.4054	1355.4892	2170.7395	1556.5936	97.5172
"ACER1|125981"	0	0	0	0	0	1.4129	0	0	0	0.8958	0.5007	0	0	0
"ACER2|340485"	122.4454	171.5663	102.4703	88.8355	95.0833	103.1438	259.1697	264.7446	190.7902	136.6028	57.5845	236.6559	275.2425	20.9393
"ACER3|55331"	287.7112	533.494	343.0924	300.12	245.4287	353.5853	356.711	256.6845	361.9735	163.0277	319.4688	364.3087	324.1107	499.8504
"ACE|1636"	958.6835	1451.5663	982.6167	749.0996	632.6696	1885.1996	4958.4845	2467.0232	3278.5	1447.0944	900.822	1637.9421	6644.2688	8.6748
"ACHE|43"	12.0322	31.8072	29.2772	40.8163	39.4149	42.0346	185.4091	53.9409	11.6887	8.0618	34.05	90.3537	12.217	10.4696
"ACIN1|22985"	2668.672	3478.5542	3616.6514	2304.1216	2594.0675	2801.8368	2737.2027	2004.1851	2169.956	2891.9494	3476.1012	2472.3473	2103.8448	2544.4212
"ACLY|47"	12454.3926	7315.6627	9677.9506	10777.1108	10960.1788	14019.781	7154.7763	10156.7077	14974.3932	7698.578	6082.9267	12350.4823	14080.4887	3116.3625
"ACMSD|130013"	1413.0762	563.3735	1521.5005	1511.0044	1542.0561	1276.5489	748.4885	875.4553	1310.6459	2.2394	1412.573	653.6977	822.4937	481.6004
"ACN9|57001"	80.3327	121.4458	104.3001	97.6391	243.8033	165.6658	177.7509	113.462	79.9358	89.5756	128.6889	185.209	83.7226	268.621
"ACO1|48"	1857.2061	1886.747	1439.1583	1698.6795	1505.0792	2190.3921	1304.3128	1389.4443	1533.4859	896.6521	1241.8224	1665.5949	1651.8146	18348.4894
"ACO2|50"	6360.0354	3531.1422	5037.9506	5260.3201	5533.3848	7265.8672	4565.3809	3968.3143	4389.5514	3962.0244	5175.0644	3422.7621	6592.4793	8309.5872
"ACOT11|26027"	204.0803	283.2241	189.9543	130.004	194.6485	224.9311	100.8424	138.4577	97.4388	237.1694	155.2779	90.701	105.76	1072.1747
"ACOT12|134526"	0	0	0	0.8003	0	0	0	0	5.6558	0	0.5007	0	0	102.9016
"ACOT13|55856"	798.7862	687.5711	621.8207	760.108	567.5863	610.929	615.3849	564.5323	633.0653	681.4466	1101.176	615.5466	628.3974	634.9387
"ACOT1|641371"	377.5989	392.7711	483.989	454.982	470.1341	518.5447	575.9774	291.0951	383.8428	267.3833	1261.351	388.746	523.5358	1714.9267
"ACOT2|10965"	227.5502	272.7711	260.7502	339.3357	313.6936	377.6051	280.9351	227.854	284.3001	242.3021	580.3517	222.508	339.2023	1169.6081
"ACOT4|122970"	289.1268	153.7349	242.452	465.7863	236.0829	166.3723	150.3426	102.9218	71.2635	34.0387	258.8799	215.7556	160.9774	49.9551
"ACOT6|641372"	5.3083	9.6386	5.4895	13.6054	7.7204	3.1791	4.8368	4.6501	4.9017	3.583	19.0279	7.717	8.2645	6.2818
"ACOT7|11332"	462.886	622.1687	930.4666	1447.379	1430.7192	1947.0152	827.4889	648.5313	1005.2307	300.5263	1159.2011	350.8039	1578.1531	822.9136
"ACOT8|10005"	202.9762	245.1566	256.1848	248.3273	355.0264	315.1854	233.8976	225.5413	159.2307	287.9633	430.9474	166.2797	249.8239	276.8771
"ACOT9|23597"	420.4194	395.1807	348.5819	425.7703	341.731	434.4755	635.2277	492.9086	476.9756	627.4773	437.6422	464.6302	436.2199	204.0084
"ACOX1|51"	1756.5425	928.1928	1349.7438	1654.7819	1167.4929	1142.2501	1327.0214	1349.1436	1457.1132	969.7951	1274.8709	1549.9743	1437.0464	2171.9444
"ACOX2|8309"	263.6468	270.3614	220.4941	213.2853	231.2068	245.8495	157.1947	181.3532	258.6603	259.7693	317.9666	18.0064	430.83	848.0407
"ACOX3|8310"	193.223	453.012	225.0686	326.1305	321.0077	291.4165	322.0476	245.2143	233.7746	231.553	260.8828	326.3666	233.2016	286.569
"ACOXL|55289"	0	1.9277	0.9149	1.2005	1.6254	4.592	0.8061	0.93	0.7541	14.3321	2.5037	0	0.3593	0.8974
"ACP1|52"	1500.8405	1699.759	1670.6313	1308.5234	1663.9577	1923.7019	1335.3486	1567.0774	1487.485	1652.2226	1632.3955	1397.4277	1281.3511	1564.7622
"ACP2|53"	629.2135	928.1928	1231.473	934.7739	1105.6481	897.9124	976.2193	821.5144	770.325	853.2079	1045.5343	631.8328	813.1513	736.7634
"ACP5|54"	2000.8847	274.6988	3716.3769	2637.8551	404.3072	609.6786	1420.395	488.2585	1166.6106	49.7145	1128.1556	1003.8585	1594.682	13113.0721
"ACP6|51205"	362.7356	452.0482	357.731	139.6559	219.423	220.0636	138.2507	218.8638	158.3634	344.4183	228.3351	95.8199	222.0625	430.4517
"ACPL2|92370"	585.6852	224.0964	221.409	196.4786	285.2499	543.2709	393.3898	434.6276	572.3707	724.219	508.2459	236.6559	404.9587	405.0254
"ACPP|55"	6.0161	17.3494	26.5325	8.4034	13.4092	18.7213	8.0613	6.2001	4.5247	1.3436	1.0015	4.1801	4.3119	5.6835
"ACPT|93650"	0	0	0.9149	0	0	0	0	0	0	0.4479	0	0	0	0
"ACRBP|84519"	41.4049	83.3735	97.8957	47.619	56.0748	48.746	28.2144	39.3707	13.9511	12.5406	45.0661	58.1994	24.7934	84.9536
"ACRC|93953"	24.7722	35.6627	32.9369	11.6046	19.5043	31.4377	9.6735	6.5101	6.0329	20.1545	38.5566	11.5756	8.6238	15.5549
"ACRV1|56"	0.7078	0	0	0	1.6254	1.7662	0.8061	0.93	0	1.3436	0	0.6431	0.7186	0.8974
"ACR|49"	13.0939	17.3494	10.064	45.6182	9.3458	18.0148	18.944	11.1602	18.4757	2.2394	23.5345	25.7235	12.217	1.7948
"ACSBG1|23205"	3.185	3.3735	6.4044	6.4026	6.0951	4.2388	10.8827	15.8103	3.3935	6.7182	6.5096	4.8232	6.8272	9.5722
"ACSBG2|81616"	2.8311	0.9639	0.9149	1.2525	2.0317	1.4129	1.2092	0.62	0.7541	9.8533	4.0059	0.6431	1.4373	0
"ACSF2|80221"	65.1155	227.4699	176.5782	465.3862	230.8005	321.088	125.3527	107.8819	50.5255	389.2061	205.802	58.5209	154.1502	921.3281
"ACSF3|197322"	258.6924	180.241	382.4337	369.3477	309.6302	504.4154	289.8025	498.1787	270.349	279.476	443.6511	257.8778	422.2063	548.0108
"ACSL1|2180"	4625.3207	4007.7108	4439.1583	5893.9576	6550.5892	3472.6245	4786.3765	5814.7718	8512.4113	1948.2701	3678.8988	7252.4116	8802.3715	16787.3168
"ACSL3|2181"	1469.6983	684.8193	591.9488	972.389	743.6002	757.6828	1126.1588	1295.5127	1594.9459	1035.4943	850.7485	1168.4887	1398.1315	1531.8576
"ACSL4|2182"	1370.2557	1554.2169	1149.1308	1523.0092	950.4267	1223.5959	1602.5796	1658.839	1735.2107	2008.7336	908.333	1636.0129	1957.5997	2155.848
"ACSL5|51703"	422.8966	1218.3133	693.5041	1009.2037	577.8139	708.2303	761.7896	894.0556	661.3558	446.0867	485.7128	609.9678	709.3065	97.8163
"ACSL6|23305"	6.0161	7.2289	3.6597	15.6062	20.7233	4.592	8.8674	4.9601	6.0329	0.8958	3.0044	2.5723	13.295	38.5881
"ACSM1|116285"	7.7855	3.8554	4.5746	24.0096	5.2824	11.6567	1.6123	10.8502	0.3771	59.1199	25.0367	1.2862	2.8746	82.5606
"ACSM2A|123876"	6521.8084	1913.253	4634.0348	3779.1116	4520.1138	3298.1279	2675.131	3818.3368	3773.5742	8.5097	8653.6993	2692.926	4245.4186	19311.9952
"ACSM2B|348158"	5067.3273	839.5181	2665.1418	1874.3497	3752.946	2394.207	2800.8867	1794.0014	3898.7568	3.1351	2314.3964	1082.3151	5615.1635	6113.9695
"ACSM3|6296"	988.895	423.0024	207.4291	263.2413	436.282	177.2448	253.4784	550.303	398.4989	457.5479	536.7226	327.4566	316.4499	1856.4583
"ACSM4|341392"	0.3539	0	0.9149	0	0	0.3532	0	0	0	0	0	0	0	0
"ACSM5|54988"	1021.6757	1472.7711	920.4026	736.2945	560.3413	1105.2632	529.6252	764.1634	631.9455	88.6799	340.4997	490.9968	590.3701	485.1929
"ACSS1|84532"	2217.4644	1922.4096	2195.7914	1499.7999	1838.2771	1195.6906	1395.8081	1108.8894	1591.5524	1382.1521	1679.9653	1673.955	1895.7959	5208.1962
"ACSS2|55902"	670.9723	1064.5783	911.2534	1094.0376	1117.0256	1022.2536	902.8617	693.7921	823.4898	979.5096	1161.2041	925.7235	665.4689	2695.4831
"ACSS3|79611"	501.8137	878.0723	322.9643	691.4766	837.4644	887.6722	194.6796	525.1492	610.4533	422.797	501.2356	398.0707	908.0129	1695.7822
"ACTA1|58"	1.4156	2.4096	0.9149	2.8011	2.438	52.2783	0.4031	1.86	2.2623	1.3436	3.0044	1.9293	0.3593	4.487
"ACTA2|59"	7656.2293	11278.3904	3915.9835	2389.5438	5311.1337	23377.3048	12177.6219	7469.435	13406.1579	3797.9263	14819.057	7095.5981	6172.756	1628.7107
"ACTBL2|345651"	0	1.4458	0.9149	0.4002	4.8761	0.3532	0	0	0	0.4479	0	0	0	0
"ACTB|60"	48876.9353	48221.6867	62719.1217	77080.032	95299.0654	67180.5016	103696.4933	53788.4213	66892.3346	36650.3191	113904.1543	78937.6206	63494.7898	71745.7374
"ACTC1|70"	2.1233	141.6867	19.2132	2.0008	4.0634	584.5991	31.0359	21.0804	10.9346	15.2279	18.0265	13.8264	35.2138	35.5968
"ACTG1|71"	29391.8429	33929.1566	35056.7246	63508.6034	45468.5087	49869.6574	48398.6296	37766.7333	31926.0669	45495.9131	36506.0727	44776.5273	44468.1998	44618.0078
"ACTG2|72"	106.8743	823.6145	82.3422	13.2053	98.7403	1501.2363	542.5232	504.6888	461.8933	113.7611	671.4854	123.1511	234.2796	19.1445
"ACTL6A|86"	597.0096	475.6627	551.6926	564.2257	553.8399	512.5397	713.8251	681.0819	628.929	490.8745	655.9626	716.0772	614.8042	487.2869
"ACTL6B|51412"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTL7A|10881"	0	0	0	0.4002	0	0	0	0	0	0.4479	0	0	0	0
"ACTL7B|10880"	0.3539	0	0	0	0	0	0	0	0	0.4479	0.5007	0	0	0.2991
"ACTL8|81569"	0	0	0	0.8003	0	0	0	0	0	0	0	0	0	2.3931
"ACTL9|284382"	0.3539	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACTN1|87"	2082.279	4773.9759	2611.1619	3288.5154	3718.0008	4045.2137	6224.5062	2805.5491	4643.819	3155.3018	3841.1369	2884.2444	2097.0176	1385.8809
"ACTN2|88"	4.9544	132.0482	14.6386	12.405	106.8671	16.2487	5.2398	2.17	58.0666	0.8958	20.5301	45.0161	31.9799	5.0853
"ACTN3|89"	0.7078	0.9639	1.8298	2.0008	0.8127	1.0597	2.0153	1.86	1.5082	0.8958	1.0015	0	2.1559	0.8974
"ACTN4|81"	10066.0993	9599.4072	10625.5718	13452.6291	13082.4543	17522.1512	19392.8335	13896.4644	16199.9414	14028.3641	19228.1573	11453.8971	14360.6252	13100.673
"ACTR10|55860"	1091.0378	879.0361	890.2104	1016.0064	838.6835	1095.3727	930.2701	1180.8107	1142.8561	1026.5368	1112.6328	1079.4212	1049.9461	917.4394
"ACTR1A|10121"	1595.3287	1525.7831	1585.5444	2343.3373	2165.7863	1789.8269	2816.2031	2299.6202	2834.7053	1230.7692	2833.1577	2394.2122	2162.4147	3064.0144
"ACTR1B|10120"	1665.7525	1621.6867	1774.9314	1901.1605	2323.8521	1732.6033	1814.5909	1651.7089	1757.457	2412.7197	2031.9819	1564.9518	1539.7054	1977.5651
"ACTR2|10097"	5935.0615	5728.6747	5063.129	5647.459	3933.3604	4659.131	6506.2475	7019.1428	6539.6554	3204.5684	3838.6332	6650.4823	6179.6622	5860.9034
"ACTR3B|57180"	93.4265	74.2169	77.7676	93.2373	90.2072	79.124	73.3575	68.8212	129.3301	137.9465	82.6212	205.1447	96.6583	206.1023
"ACTR3C|653857"	39.2816	66.0241	34.7667	14.4058	64.6079	56.5171	19.347	20.4604	55.4272	38.9654	47.0691	31.5113	26.9493	96.9189
"ACTR3|10096"	3918.6057	3465.5422	4312.9003	3698.2793	2738.7241	3030.0247	4450.2217	3713.865	3898.7568	2917.4784	2740.021	4086.4952	3366.511	3172.3003
"ACTR5|79913"	196.408	178.7952	146.3861	226.0904	196.668	206.994	190.6489	202.7435	188.1508	207.3676	274.9034	239.2283	167.4452	122.6443
"ACTR6|64431"	517.3848	450.1205	419.0302	464.5858	427.4685	426.3511	388.9561	545.9196	456.9916	554.0253	361.0298	434.7267	483.2914	428.956
"ACTR8|93973"	388.2155	345.5422	301.0064	270.108	174.7257	305.5457	348.6497	336.0459	296.7429	495.3533	244.8593	369.1318	297.5207	663.7751
"ACTRT1|139741"	0	0.4819	0.9149	0	0	0	0	0	0	0	0	0	0	0
"ACTRT2|140625"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACVR1B|91"	1400.3362	1841.9277	1665.1418	1136.8547	1469.7278	1807.8418	1003.2245	1485.236	1352.122	3112.3055	1399.5538	805.1447	1293.9274	1209.6919
"ACVR1C|130399"	5.3083	6.2651	6.4044	15.6062	0.8127	1.0597	5.2398	1.55	2.6394	8.0618	2.5037	1.9293	2.1559	7.7774
"ACVR1|90"	914.8014	865.0602	818.8472	863.5454	1017.0662	749.2052	1092.3015	945.8266	1074.609	870.6752	838.7308	1085.8521	1051.7427	2477.4155
"ACVR2A|92"	519.862	324.8193	291.8573	289.7159	321.4141	313.3168	350.262	431.2175	357.8259	564.7744	370.5438	454.9839	347.4668	379.5992
"ACVR2B|93"	507.8298	678.5542	464.7758	184.4738	236.0829	323.5606	351.8742	375.1066	268.0867	846.4898	342.5026	246.3023	404.9587	186.9578
"ACVRL1|94"	1497.3016	1999.5181	1914.9131	1557.0228	2088.1755	2854.4684	5143.0875	2939.4714	2754.3925	1393.349	2274.8383	2565.9164	4022.9968	121.4478
"ACY1|95"	838.0076	625.5422	1251.1711	1443.3774	972.369	960.2155	684.0871	562.9699	688.7263	422.3626	1152.8618	539.8714	803.4495	2170.5025
"ACY3|91703"	479.8726	508.4337	524.2452	865.9464	513.6124	845.9908	469.5687	677.6719	239.4304	2.6873	938.3771	157.8778	772.9069	35.8959
"ACYP1|97"	88.826	64.5783	129.9177	73.6295	87.3629	65.7012	95.526	66.3412	70.8865	156.3095	112.1646	45.0161	89.1125	153.455
"ACYP2|98"	46.7133	77.5904	67.7036	87.6351	112.5559	99.6114	101.5719	105.4018	87.4769	121.8229	145.2131	63.9871	90.1904	149.5663
"ADAD1|132612"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAD2|161931"	0	0	0	3.8896	15.8675	3.3592	2.4184	2.17	0	2.2394	1.4672	0	0.7186	0.4218
"ADAL|161823"	144.0326	172.5301	125.3431	123.2493	101.9911	85.1289	116.0822	143.2225	155.724	81.5138	124.683	178.7781	111.3906	224.3494
"ADAM10|102"	2883.4823	2700.241	2429.0942	1715.086	1686.3064	2374.7792	3371.6243	3277.6874	3246.8273	3809.6518	862.7661	3357.5563	2882.5009	1921.9264
"ADAM11|4185"	11.3244	20.7229	14.6386	7.603	16.6599	28.6118	10.4796	8.9902	7.1641	34.0387	14.0206	5.1447	5.3899	16.4523
"ADAM12|8038"	37.5122	452.5301	50.3202	24.0096	391.3043	173.7902	72.1483	37.2007	48.6402	16.1236	45.0661	65.5949	76.8954	6.88
"ADAM15|8751"	1074.0511	2229.3976	931.3815	1704.6819	1954.49	2272.6952	2640.0645	2000.4774	2134.1357	1115.1181	1579.528	2168.8103	1918.4333	653.9485
"ADAM17|6868"	659.6479	820.241	531.5645	609.0436	539.2117	555.6341	885.53	847.2448	857.8019	692.4197	408.5996	953.3762	727.9914	613.8199
"ADAM18|8749"	0	10.6024	0	0.8003	0.8127	108.089	0	0.62	0	0	0.5007	0	5.0305	0
"ADAM19|8728"	200.6547	336.3855	575.4803	265.7063	194.23	286.4712	1094.7199	557.3898	274.8737	297.3911	350.0136	459.8071	324.8293	44.8699
"ADAM20|8748"	3.185	1.9277	6.4044	0	0.8127	1.7662	0	0.93	1.1312	5.3745	3.5051	1.6077	1.078	0.5983
"ADAM21P1|145241"	2.1233	2.4096	0	2.0008	0.8127	0.3532	0.8061	0.31	0.7541	2.6873	3.0044	0.3215	0.3593	3.8887
"ADAM21|8747"	3.185	2.8916	0.9149	4.4018	1.6254	2.1194	3.6276	1.24	2.2623	2.2394	3.0044	0.9646	2.8746	7.7774
"ADAM22|53616"	197.4697	219.759	96.0659	120.4482	80.8614	45.5669	45.5462	98.5817	114.2479	72.5563	22.0323	459.4855	88.7531	208.4954
"ADAM23|8745"	3.185	33.7349	0.9149	7.2029	8.9395	55.4574	6.0459	25.4204	10.5576	3.1351	6.5096	6.1093	9.7018	205.8032
"ADAM28|10863"	279.9257	725.3012	472.0952	354.1417	401.0565	299.1876	104.3934	153.7627	131.2154	120.4792	59.0867	175.2412	147.6824	262.9375
"ADAM29|11086"	0.7078	0.4819	0	0.4002	0.8127	1.4129	0	0	0.3771	0.4479	2.5037	0	0	0.5983
"ADAM2|2515"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM30|11085"	0.3539	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM32|203102"	2.1233	2.4096	0.9149	4.0016	2.8444	5.2985	2.4184	2.48	1.8853	3.583	0	0.9646	1.4373	2.3931
"ADAM33|80332"	6.7239	3.3735	3.6597	2.8011	0.8127	6.7114	1.2092	1.86	3.0164	10.3012	1.0015	0.6431	4.3119	98.7137
"ADAM3A|1587"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAM5P|255926"	0.3539	0.4819	0.9149	0	0	0	0	0	0	0	0	0	0	0
"ADAM6|8755"	1825.2393	1563.653	30264.172	6490.04	25083.2507	1577.6369	2379.21	1531.6748	1050.2059	697.8032	2599.69	792.463	8101.3223	1927.2001
"ADAM7|8756"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2991
"ADAM8|101"	102.9815	122.4096	333.0284	275.3101	253.5555	164.2529	170.8988	59.211	50.1484	334.1171	218.8211	63.9871	126.8415	101.7051
"ADAM9|8754"	3632.6639	6477.1084	3720.0366	3093.2373	4419.7481	6235.6058	3276.0983	3936.4489	4704.525	5440.3762	1007.4785	4773.955	3913.7621	3822.0162
"ADAMDEC1|27299"	135.5392	39.5181	497.7127	63.2253	9.3458	75.9449	5.2398	17.6703	3.7706	3.583	0.5007	4.8232	16.5289	16.1532
"ADAMTS10|81794"	151.4642	690.1205	723.6962	305.7223	561.9667	255.0336	296.6546	159.0328	99.5427	352.4801	228.3351	149.1961	190.8013	85.2528
"ADAMTS12|81792"	20.8794	72.2892	12.8088	25.6102	22.3486	34.6167	47.1584	26.3505	59.1978	5.8224	13.5198	100.9646	34.8545	4.7861
"ADAMTS13|11093"	36.0966	66.988	43.0009	31.2125	72.3283	69.5867	33.4543	17.9803	5.2788	141.5295	83.122	11.5756	34.1358	180.9752
"ADAMTS14|140766"	8.4933	55.4217	19.2132	5.6022	31.6944	13.4228	29.4236	10.8502	15.4593	16.1236	15.022	6.4309	13.295	0.5983
"ADAMTS15|170689"	27.9572	38.5542	10.979	18.0072	25.193	9.8905	23.3777	25.1104	39.5909	37.1739	15.022	20.5788	30.9019	194.4361
"ADAMTS16|170690"	225.4269	0	115.279	28.8115	34.9451	12.0099	19.7501	124.0022	34.6891	43.8921	49.072	57.5563	123.9669	110.3799
"ADAMTS17|170691"	38.2199	94.9398	50.3202	10.004	14.6282	48.0396	24.9899	24.8004	43.7385	118.6877	50.0735	16.7203	28.3866	3.5896
"ADAMTS18|170692"	42.1127	140.7229	9.1491	2.8011	35.7578	24.373	92.7046	76.5713	171.1833	62.7029	51.075	72.0257	16.5289	0
"ADAMTS19|171019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAMTS1|9510"	6828.9835	3871.3253	1636.7795	5794.3177	6321.8204	4143.7655	4254.736	1488.9561	2331.3359	1161.796	1650.422	3389.7106	8745.9576	468.1424
"ADAMTS20|80070"	8.1394	19.2771	0	0.4002	0	16.2487	0	3.7201	0.3771	0.8958	0.5007	0.3215	0.7186	0
"ADAMTS2|9509"	106.5204	360	43.9158	55.6222	93.0516	433.0625	549.3753	256.9945	314.4645	54.6411	220.8241	198.7138	301.1139	495.0643
"ADAMTS3|9508"	14.1555	101.2048	26.5325	18.0072	46.3226	50.5122	142.6844	81.8414	112.7397	17.4672	13.0191	111.8971	34.4951	277.595
"ADAMTS4|9507"	2626.9132	1007.2289	587.3742	2164.8659	2727.3466	998.5871	4861.7493	1023.3279	1548.5681	484.6042	1528.2427	1480.7074	6183.9741	63.4161
"ADAMTS5|11096"	2738.388	1327.2289	355.9012	231.6927	767.5742	952.6669	2648.5288	437.1076	1424.5167	925.3163	1122.1468	1160.7717	1285.3036	39.4855
"ADAMTS6|11174"	21.2333	52.5301	34.7667	17.2069	16.2536	39.2088	16.9287	20.1504	15.4593	22.3939	15.022	17.0418	18.6849	6.2818
"ADAMTS7|11173"	215.518	325.7831	260.7502	205.6823	382.3649	499.8234	1614.2684	686.352	560.6819	307.6923	404.093	525.7235	583.1836	74.1849
"ADAMTS8|11095"	9.555	11.0843	31.107	24.0096	11.7838	20.1342	20.9593	17.3603	5.6558	22.3939	18.5272	13.5048	7.5458	14.6575
"ADAMTS9|56999"	1136.3355	950.3614	659.6523	444.1777	655.831	636.8774	1976.2193	910.1759	1177.9223	2188.3328	596.8759	1670.0965	1602.5871	1298.2351
"ADAMTSL1|92949"	45.6516	60.7229	25.6176	70.8283	136.9362	123.9845	193.0673	164.9229	102.9362	45.2357	33.5492	317.3633	51.7427	4.1879
"ADAMTSL2|9719"	167.0353	311.8072	328.4538	520.6082	744.0065	460.6146	282.5474	294.1951	146.2976	501.1757	224.3292	547.5884	287.4596	369.1295
"ADAMTSL3|57188"	1223.392	2024.0964	836.2306	754.7019	1464.8517	426.7043	480.4514	1379.2141	604.0434	1632.516	441.1474	847.91	316.5649	24.5289
"ADAMTSL4|54507"	622.8435	1366.747	365.9652	190.8764	764.7298	453.9032	272.4708	124.3122	107.4609	1616.8402	361.0298	236.9775	115.3432	68.8005
"ADAMTSL5|339366"	12.0322	5.3012	8.2342	4.4018	25.193	4.9452	12.495	5.5801	4.5247	20.6024	25.0367	4.5016	11.4984	2.3931
"ADAP1|11033"	103.3956	190.3036	271.903	307.8832	271.3897	287.4991	131.2092	89.3436	88.4271	218.1391	191.0003	89.254	191.6637	70.7598
"ADAP2|55803"	422.1888	792.2892	466.6057	562.2249	432.7509	345.8142	532.4466	268.4647	299.3823	141.9774	415.1092	309.9678	297.5207	319.7727
"ADARB1|104"	833.4071	1485.3012	742.9094	734.6939	904.5104	1073.8255	1463.1197	934.9764	956.9676	807.0765	880.7926	1346.6238	950.4132	177.3856
"ADARB2|105"	0.3539	0.9639	10.064	14.4058	6.5014	3.5323	1.2092	2.48	6.787	18.8109	9.0132	0.6431	1.4373	0.8974
"ADAR|103"	7389.8965	6609.1566	7664.2269	6786.7147	4838.6835	5559.5196	6147.5212	6865.0701	7301.3081	4745.7172	3954.8037	8041.1576	6138.6992	6621.5974
"ADAT1|23536"	206.3169	224.0964	185.7274	246.0984	160.9102	141.6461	213.2205	239.3242	213.7906	188.1088	61.5904	264.6302	190.0826	506.1322
"ADAT2|134637"	87.7643	228.9157	240.6221	105.6423	168.2243	129.2829	67.3116	44.9508	53.1649	120.9271	139.2043	87.4598	45.2749	155.848
"ADAT3|113179"	17.3405	23.6145	16.4684	66.8267	65.4206	80.1837	54.4135	27.2805	8.2952	33.5909	52.0764	13.1833	49.9461	61.023
"ADA|100"	91.6571	225.5422	150.0457	177.2709	176.3511	112.681	312.7771	302.5653	191.9214	77.035	290.9269	173.955	308.3004	107.0894
"ADCK1|57143"	62.2843	93.494	99.7255	116.0464	95.896	106.6761	80.2096	53.6309	91.2475	32.2472	91.6345	76.8489	64.6784	440.9213
"ADCK2|90956"	626.7363	752.2892	760.2928	740.2961	943.9252	812.787	571.1407	352.4762	590.0923	829.4704	619.409	864.0096	611.5702	798.3847
"ADCK4|79934"	496.5054	777.8313	774.9314	567.427	785.0467	921.5825	550.9875	617.5308	474.7132	821.8565	682.0008	384.5659	593.9633	738.8573
"ADCK5|203054"	76.086	87.2289	82.3422	83.2333	191.3856	130.6959	89.8831	59.521	57.6895	114.2089	156.2293	46.3023	86.2379	109.1834
"ADCY10|55811"	8.1394	5.7831	1.8298	1.6006	4.0634	2.4726	4.0306	1.55	1.5082	2.2394	14.5213	3.8585	5.7492	1.1965
"ADCY1|107"	135.8931	247.7108	120.7685	86.0344	188.1349	145.5316	386.9407	265.0546	65.6077	108.8344	100.147	414.1479	251.5271	12.2644
